letter,type,media,text,gloss
l,video,elkeyh,elkeyh,"tasty"
m,video,miis_i1q,miisi1q,"his or her name is"
m,video,demee,demee,"sheep"
m,video,ma1q,maq,"dry fish"
n,video,na1q,na1q,"take it"
n,video,xen,xen,"quickly"
n,video,nen,nen,"you"
n,video,sheen,sheen,"summer"
n,video,nu3un,nu3un,"animal"
n,video,jaan,jaan,"this one"
nh,video,menh,menh,"lake"
nh,video,ehtsenh,ehtsenh,"she or he smells (it)"
nh,video,dzenh,dzenh,"muskrat"
o,video,do1o,do1o,"who"
o,video,ko1nq,ko1nq,"fire"
o,video,Lootqe2eq,Lootqe2eq,"really"
o,video,ekdo1ts,ekdo1ts,"I'm cutting it (with scissors)"
o,video,e3y_tqo,e3y_tqo,"okay"
o,video,taaxelqo1k,taaxelqo1k,"they are swimming"
s_under,video,xuns_uu-1,xuns_uu,"it (area, weather) is good, nice"
s_under,video,ls_aaz-1,ls_aaz,"money"
s_under,video,s_a3ay,s_a3ay,"rice"
s,video,seey,seey,"knife"
s,video,su1us,su1us,"robin (bird)"
s,video,saa-1,saa,"sun"
s,video,tqe1es,tqe1es,"charcoal"
s,video,se1nq,se1nq,"star"
s,video,chqeldzes,chqeldzes,"she or he is dancing"
sh_under,video,sh_ax,sh_ax,"house"
sh_under,video,sh_i1i,sh_i1i,"in, inside"
sh_under,video,desh_aaz,desh_aaz,"cow moose"
sh,video,shos,shos,"bear"
sh,video,shih,shih,"I, me"
sh,video,shche3l,shche3l,"my younger brother"
sh,video,ilshuutl,ilshuutl,"it swelled up"
th_under,video,xneeth_eL,xneeth_eL,"it (weather) is hot"
th_under,video,ye1th_ox,ye1th_ox,"??"
th,video,thaayh,thaayh,"sand"
th,video,ektqe1eth,ektqe1eth,"I am frying it"
th,video,degkoth,degkoth,"I am coughing"
tl_glot,video,tlqox,tlqox,"grass"
tl_glot,video,tlqa3an,tlqa3an,"after"
tl_glot,video,ntlqet,ntlqet,"lowbush cranberry"
tl,video,xultlet,xultlet,"it is slippery"
tl,video,ilshuutl,ilshuutl,"it swelled up"
tl,video,taatleex,taatleex,"soap"
tl,video,tsqe1tl,tsqe1tl,"brush (vegetation)"
tl,video,dettlog,dettlog,"it is soft"
ts_glot,video,tsqo3gh,tsqo3gh,"spruce tree"
ts_glot,video,"tsqe1hxeh-1",tsqe1hxeh,"woman"
ts_glot,video,tsqi1q,tsqi1q,"to, toward"
ts,video,etsax,etsax,"he or she is crying"
ts,video,Le1ets,Le1ets,"flour"
ts,video,tsa1q,tsa1q,"beaver"
ts,video,ekmeets,ekmeets,"I am boiling it"
ts,video,ntsu3udl,ntsu3udl,"the  small one"
ts,video,tsets,tsets,"firewood"
tth_glot,video,tthqa1ak,tthqa1ak,"plate"
tth_glot,video,tthqe3y,tthqe3y,"mosquito"
tth_glot,video,tthqihtah,tthqihtah,"still"
tth,video,"tthee-1",tthee,"rock"
tth,video,atdetth,atdetth,"it (an animal) is running"
tth,video,shtthi1q,shtthi1q,"my head"
tth,video,shetth,shetth,"snow"
tth,video,ntthu3uy,ntthu3uy,"his grandchild"
tth,video,xne1ekqetth-1,xne1ekqetth,"it (weather) is cold"
u_nasal,video,guu,guu,"worm"
u_nasal,video,kqu1uq,kqu1uq,"fish roe"
u_nasal,video,xuns_uu-2,xuns_uu,"it (area, weather) is good"
u_nasal,video,tehtsquudz,tehtsquudz,"mink"
u_nasal,video,ntsuu,ntsuu,"your grandmother"
u_nasal,video,gu1uth-2,gu1uth,"wild rhubarb"
u,video,tuu,tuu,"water"
u,video,ninchu3un,ninchu3un,"bull moose"
u,video,wuth_u2ul,wuth_u2ul,"his, her or its windpipe"
u,video,tthqitu1q,tthqitu1q,"Tanana River"
u,video,shuus_i1q,shuus_i1q,"my name"
u,video,chuyh,chuyh,"down feathers"
x,video,xunhe1eyh,xunhe1eyh,"she or he is talking"
x,video,xnixte1t-th_et,xeenixte1t-th_et,"they are insulted"
x,video,xi2ith,xi2ith,"raft"
x,video,naqegs_eex,naqegs_eex,"I'm hunting"
x,video,xey,xey,"winter"
x,video,lox,lox,"fish hook"
x_under,video,delx_os,delx_os,"he or she is playing"
x_under,video,neex_on,neex_on,"we, us"
x_under,video,chqex_e2ezq,chqex_e2ezq,"an egg"
y,video,tsi1iyu1ulq,tsi1yu1uLq,"ancestors"
y,video,niidu3uy,niidu3uy,"lynx"
y,video,yenehseel,yenehseel,"he or she is combing it"
y,video,e3y,e3y,"that one"
y,video,yadi1imeey,yadi1imeey,"northern lights"
y,video,shcha3ay,shcha3ay,"my (woman's) grandchild"
yh,video,aayh,aayh,"snowshoes"
yh,video,dende1yh,dende1yh,"bearberries"
yh,video,xeyh,xeyh,"spruce roots"
z,video,ji3iz,ji3iz,"gray jay, camprobber"
z,video,desh_aaz,desh_aaz,"cow moose"
z,video,tthindi1iz,tthindi1iz,"ceiling"
